,h3_hex_id,date,dd,ff,precip,hu,td,t,psl
0,831840fffffffff,2016-09-26 17:00:00,190.0,7.2,0.0,67.0,285.25,291.45,102180.0
1,831844fffffffff,2016-01-04 08:00:00,180.0,3.3,0.0,88.0,277.85,279.65,
2,831844fffffffff,2016-01-25 13:00:00,,,0.0,,,285.65,
3,831844fffffffff,2016-01-27 03:00:00,200.0,6.3,0.0,87.0,283.15,285.25,
4,831844fffffffff,2016-02-24 18:00:00,50.0,4.7,0.2,,,279.95,
5,831844fffffffff,2016-02-25 12:00:00,20.0,1.6,0.0,58.0,273.05,280.75,
6,831844fffffffff,2016-03-09 09:00:00,310.0,7.5,0.0,,,281.35,
7,831844fffffffff,2016-04-22 08:00:00,270.0,2.3,0.0,81.0,282.65,285.85,
8,831844fffffffff,2016-06-25 14:00:00,,,0.0,,,292.05,
9,831844fffffffff,2016-07-02 07:00:00,270.0,3.0,0.0,74.0,283.65,288.25,
10,831844fffffffff,2016-07-13 12:00:00,280.0,4.5,0.0,,,288.85,
11,831844fffffffff,2016-07-15 20:00:00,40.0,2.0,0.0,57.0,283.35,292.05,
12,831844fffffffff,2016-09-17 08:00:00,330.0,6.2,0.0,84.0,285.35,288.05,
13,831844fffffffff,2016-10-24 16:00:00,,,0.0,,,289.15,
14,831844fffffffff,2016-11-08 15:00:00,230.0,1.9,0.0,73.0,277.95,282.55,
15,831844fffffffff,2016-11-11 17:00:00,200.0,1.1,0.0,81.0,277.85,280.95,
16,831844fffffffff,2016-11-19 16:00:00,,,0.0,,,284.25,
17,831844fffffffff,2016-11-27 19:00:00,60.0,5.7,0.0,91.0,277.75,279.15,
18,831844fffffffff,2016-12-17 21:00:00,50.0,1.6,0.0,100.0,278.25,278.25,
19,831844fffffffff,2016-12-21 11:00:00,,,0.0,,,284.55,
20,831844fffffffff,2017-05-24 12:00:00,,,0.0,,,296.15,
21,831844fffffffff,2017-08-05 03:00:00,300.0,1.7,0.0,96.0,286.75,287.35,
22,831844fffffffff,2017-08-21 21:00:00,,,0.0,,,294.55,
23,831844fffffffff,2017-10-22 16:00:00,,,0.0,,,286.55,
24,831844fffffffff,2017-11-01 02:00:00,130.0,6.2,0.0,79.0,275.75,279.15,
25,831844fffffffff,2017-11-13 09:00:00,30.0,1.0,0.0,77.0,275.55,279.25,
26,831844fffffffff,2017-11-29 20:00:00,300.0,2.0,0.0,90.0,275.85,277.35,
27,831844fffffffff,2018-03-11 21:00:00,200.0,7.1,0.0,92.0,281.95,283.15,
28,831844fffffffff,2018-04-03 04:00:00,200.0,4.5,0.0,91.0,283.45,284.85,
29,831844fffffffff,2018-05-20 21:00:00,40.0,3.0,0.0,74.0,283.15,287.75,
30,831844fffffffff,2018-06-23 02:00:00,70.0,6.5,0.0,71.0,282.85,288.05,
31,831844fffffffff,2018-07-05 08:00:00,150.0,0.7,0.0,96.0,288.65,289.25,
32,831844fffffffff,2018-11-21 09:00:00,140.0,4.7,0.0,83.0,274.45,277.05,100930.0
33,831845fffffffff,2016-01-01 08:00:00,140.0,4.4,0.0,93.0,279.35,280.45,101980.0
34,831845fffffffff,2016-05-30 22:00:00,,,0.0,,,286.95,
35,831845fffffffff,2016-06-21 04:00:00,250.0,3.2,0.0,100.0,289.95,289.95,
36,831845fffffffff,2016-06-26 05:00:00,340.0,2.6,0.0,84.0,284.55,287.25,
37,831845fffffffff,2016-09-30 02:00:00,30.0,1.5,0.0,93.0,287.95,289.05,
38,831845fffffffff,2016-10-04 05:00:00,90.0,2.6,0.0,,,284.85,
39,831845fffffffff,2016-11-12 22:00:00,300.0,2.7,,,,,
40,831845fffffffff,2016-11-27 12:00:00,60.0,4.4,0.0,82.0,280.95,283.95,
41,831845fffffffff,2017-03-01 06:00:00,220.0,3.6,0.0,90.0,279.65,281.15,
42,831845fffffffff,2017-03-27 16:00:00,,,0.0,,,289.95,
43,831845fffffffff,2017-03-29 15:00:00,,,0.0,,,292.65,
44,831845fffffffff,2017-05-18 07:00:00,330.0,1.9,,,,,
45,831845fffffffff,2017-06-01 17:00:00,290.0,4.6,,,,,
46,831845fffffffff,2018-02-05 22:00:00,20.0,4.2,0.0,66.0,268.95,274.65,
47,831845fffffffff,2018-05-27 06:00:00,170.0,4.9,0.0,93.0,288.65,289.75,101340.0
48,831845fffffffff,2018-06-15 19:00:00,330.0,5.1,0.0,73.0,285.15,290.05,101850.0
49,831845fffffffff,2018-06-25 09:00:00,60.0,5.9,0.0,58.0,286.25,294.85,
50,831845fffffffff,2018-07-05 10:00:00,200.0,2.9,0.0,84.0,290.85,293.65,101740.0
51,831845fffffffff,2018-11-04 03:00:00,140.0,2.1,0.0,,,277.25,
52,831846fffffffff,2016-03-02 16:00:00,290.0,9.3,0.4,76.0,278.65,282.65,
53,831846fffffffff,2016-08-09 06:00:00,360.0,2.2,,,,,
54,831846fffffffff,2016-10-11 18:00:00,100.0,2.8,0.0,65.0,278.15,284.45,101680.0
55,831846fffffffff,2017-02-08 03:00:00,320.0,3.2,0.0,83.0,275.35,277.95,102570.0
56,831846fffffffff,2017-05-22 11:00:00,200.0,2.7,,,,,
57,831846fffffffff,2017-08-31 08:00:00,250.0,8.7,,,,,
58,831846fffffffff,2017-09-13 15:00:00,260.0,6.1,0.0,90.0,284.75,286.35,100980.0
59,831846fffffffff,2017-11-19 18:00:00,260.0,2.1,0.0,86.0,281.95,284.25,102580.0
60,831846fffffffff,2018-09-10 14:00:00,220.0,4.1,0.0,75.0,289.35,293.95,
61,831846fffffffff,2018-12-07 18:00:00,270.0,17.7,,,,,
62,831860fffffffff,2016-04-16 10:00:00,260.0,5.0,0.0,74.0,278.85,283.25,
63,831860fffffffff,2016-05-12 22:00:00,,,0.0,97.0,285.55,286.05,
64,831860fffffffff,2016-08-12 20:00:00,,,0.0,,,289.35,
65,831860fffffffff,2016-11-04 16:00:00,180.0,5.2,0.0,92.0,280.75,281.95,
66,831860fffffffff,2017-05-07 02:00:00,320.0,1.8,0.0,96.0,282.05,282.65,
67,831860fffffffff,2018-02-27 23:00:00,70.0,2.6,0.0,49.0,259.95,269.15,101780.0
68,831860fffffffff,2018-03-18 09:00:00,,,0.0,,,,
69,831860fffffffff,2018-04-10 06:00:00,140.0,2.2,0.0,95.0,281.15,281.95,
70,831860fffffffff,2018-04-17 08:00:00,,,0.0,,,285.05,
71,831860fffffffff,2018-07-01 08:00:00,,,0.0,,,298.65,
72,831860fffffffff,2018-08-02 16:00:00,,,0.0,,,299.65,
73,831860fffffffff,2018-10-07 00:00:00,,,0.8,,,283.15,
74,831860fffffffff,2018-10-25 13:00:00,330.0,2.0,0.0,74.0,282.75,287.35,102280.0
75,831860fffffffff,2018-11-14 07:00:00,160.0,2.8,0.0,94.0,279.95,280.85,
76,831860fffffffff,2018-11-30 05:00:00,,,0.0,,,281.55,
77,831861fffffffff,2016-02-01 22:00:00,250.0,6.4,0.0,98.0,282.45,282.75,
78,831861fffffffff,2016-02-06 09:00:00,190.0,7.1,0.0,91.0,281.35,282.75,
79,831861fffffffff,2016-03-03 11:00:00,,,0.0,,,280.65,
80,831861fffffffff,2016-06-02 03:00:00,,,0.0,,,285.55,
81,831861fffffffff,2016-07-08 02:00:00,,,0.0,,,289.05,
82,831861fffffffff,2016-10-16 08:00:00,,,0.2,,,285.45,
83,831861fffffffff,2017-01-16 18:00:00,40.0,1.9,0.0,84.0,273.25,275.65,102800.0
84,831861fffffffff,2017-03-10 05:00:00,,,0.0,,,283.25,
85,831861fffffffff,2017-03-26 04:00:00,70.0,0.6,0.0,74.0,275.15,279.45,
86,831861fffffffff,2017-04-17 17:00:00,360.0,5.0,0.0,49.0,276.75,287.35,102240.0
87,831861fffffffff,2017-09-17 02:00:00,150.0,0.7,0.0,98.0,282.45,282.75,101170.0
88,831861fffffffff,2017-10-15 12:00:00,,,0.0,,,294.65,
89,831861fffffffff,2017-11-15 15:00:00,90.0,2.2,0.0,70.0,279.05,284.35,102540.0
90,831861fffffffff,2017-12-25 17:00:00,,,0.0,,,278.95,
91,831861fffffffff,2018-02-17 03:00:00,90.0,1.4,0.2,94.0,275.45,276.35,
92,831861fffffffff,2018-03-13 21:00:00,,,0.0,,,279.85,
93,831861fffffffff,2018-06-19 15:00:00,60.0,0.9,0.0,61.0,288.95,296.95,102510.0
94,831861fffffffff,2018-06-28 02:00:00,40.0,3.2,0.0,70.0,286.85,292.45,101890.0
95,831861fffffffff,2018-09-20 03:00:00,,,0.0,94.0,288.55,289.75,
96,831861fffffffff,2018-10-03 18:00:00,340.0,2.0,0.0,71.0,283.95,289.25,
97,831861fffffffff,2018-11-14 11:00:00,,,0.0,,,285.55,
98,831862fffffffff,2016-07-22 09:00:00,360.0,0.5,0.0,,,294.55,
99,831862fffffffff,2017-02-04 04:00:00,20.0,7.5,0.4,94.0,278.95,279.85,
100,831862fffffffff,2017-03-12 14:00:00,340.0,6.0,0.0,96.0,281.95,282.55,101730.0
101,831862fffffffff,2017-06-26 14:00:00,330.0,4.0,0.0,67.0,287.95,294.35,101230.0
102,831862fffffffff,2018-01-28 19:00:00,220.0,1.5,0.0,90.0,282.55,284.15,
103,831863fffffffff,2016-05-05 11:00:00,100.0,6.1,0.0,39.0,277.85,292.15,101630.0
104,831863fffffffff,2016-07-09 00:00:00,,,0.0,,,,
105,831863fffffffff,2017-02-14 01:00:00,,,0.0,,,,
106,831863fffffffff,2017-09-27 08:00:00,,,0.0,,,284.65,
