,number_sta,lat,lon,height_sta,date,dd,ff,precip,hu,td,t,psl
26050246,12254001,44.41,2.482,579.0,20180811 12:42,300.0,2.5,0.0,28.0,277.85,297.55,102130.0
18964900,12077002,43.92,3.19,718.0,20170615 01:36,290.0,0.9,0.0,93.0,286.45,287.55,
4108476,53083001,48.32,-0.22,172.0,20170310 04:48,,,0.0,,,283.25,
37335554,30101001,44.07,4.14,185.0,20171122 21:42,140.0,2.3,0.0,87.0,283.65,285.75,
28800570,84086001,43.81,5.15,672.0,20170909 03:30,160.0,4.9,0.0,99.0,286.25,286.45,
34246405,66082004,42.616,2.111,1495.0,20181019 18:30,260.0,1.9,0.0,87.0,280.95,283.05,
27225969,15187006,45.02,3.07,909.0,20170826 10:24,,,0.0,,,,
21308168,26198001,44.58,4.73,74.0,20160702 20:30,360.0,5.2,0.0,60.0,285.85,293.85,102040.0
42919089,5158001,44.476,5.816,801.0,20181228 21:42,,,0.0,,,272.45,
16514810,53116003,48.406,-0.441,268.0,20181003 17:54,340.0,2.0,0.0,71.0,283.95,289.25,
7383820,42039002,45.71,3.85,855.0,20160304 19:06,,,0.0,,,,
199144,22168001,48.83,-3.47,58.0,20160104 09:42,250.0,9.6,0.2,81.0,278.85,281.95,98790.0
12488703,73257003,45.297,6.51,2800.0,20160417 15:42,220.0,8.1,,,,,
3618734,60322001,49.31,1.88,113.0,20160301 23:18,250.0,7.0,0.0,87.0,280.15,282.25,
926291,20092001,41.72,9.35,253.0,20170108 23:00,40.0,3.0,0.0,93.0,278.55,279.55,
40334276,73085003,45.84,5.84,281.0,20161214 12:12,,,0.0,,,,
18227929,29249002,48.133,-3.717,260.0,20171101 02:18,130.0,6.2,0.0,79.0,275.75,279.15,
33201727,34269001,43.39,2.86,258.0,20161013 14:48,130.0,5.8,0.0,98.0,287.65,287.95,
40490103,30209002,43.998,4.76,44.0,20161215 20:30,0.0,0.0,0.0,94.0,278.65,279.55,
17261103,53083001,48.32,-0.22,172.0,20161016 08:30,,,0.2,,,285.45,
17015834,28206001,48.707,1.173,171.0,20161012 07:12,20.0,1.5,0.0,99.0,273.55,273.65,
13930882,15187006,45.024,3.067,909.0,20180430 17:54,,,0.0,,,,
33365958,15122002,44.73,2.17,480.0,20161015 01:30,0.0,0.0,0.0,99.0,282.25,282.35,
2017314,83049005,43.25,6.13,73.0,20160118 13:00,30.0,5.5,0.0,49.0,269.55,279.45,101570.0
11565545,56240003,47.51,-2.8,37.0,20160713 12:18,280.0,4.5,0.0,,,288.85,
39910907,6152002,43.62,7.03,238.0,20171215 05:30,260.0,8.4,0.0,66.0,277.45,283.55,
37412628,83153001,43.079,5.941,134.0,20181114 19:48,50.0,4.5,0.0,95.0,287.45,288.25,102480.0
12922705,15101004,45.08,2.75,1238.0,20170423 03:42,,,0.0,,,276.45,
35094600,3248001,46.05,3.81,1022.0,20161030 05:00,90.0,3.7,0.0,70.0,275.05,280.15,
21278719,56007001,47.66,-2.97,26.0,20161221 11:24,,,0.0,,,284.55,
36062772,30334003,43.99,4.4,72.0,20171111 20:42,300.0,0.8,0.0,91.0,277.65,279.25,
41008796,7010001,45.246,4.67,336.0,20181213 14:06,,,0.0,,,275.55,
196074,56165003,47.95,-2.4,65.0,20160104 08:24,180.0,3.3,0.0,88.0,277.85,279.65,
13941080,43137003,45.314,4.231,777.0,20160430 02:00,190.0,3.8,0.0,68.0,272.95,278.35,
9223374,26056001,44.58,5.14,416.0,20160320 14:24,,,0.0,,,,
15457789,26220010,44.36,5.12,316.0,20160513 00:54,,,0.0,,,,
17596550,26116002,44.42,4.72,68.0,20160601 01:18,,,0.0,,,,
30157927,26377003,44.34,5.06,247.0,20170921 00:42,,,0.0,,,,
8138623,49188001,47.56,-0.32,53.0,20170516 12:06,120.0,1.4,0.0,39.0,285.05,300.25,102520.0
34664255,30283001,44.036,3.735,483.0,20181023 05:24,,,0.0,,,280.55,
26894718,74060001,45.782,6.152,970.0,20180818 18:06,50.0,0.5,0.0,,,293.65,
34784953,63282001,45.632,3.134,503.0,20181024 05:18,,,0.0,,,277.05,
26613172,13074003,43.657,5.607,217.0,20160817 09:36,290.0,2.3,0.0,60.0,290.55,298.85,
2781282,37179001,47.44,0.73,112.0,20160216 21:36,20.0,1.2,0.0,71.0,269.05,273.75,103160.0
17762887,29236001,47.88,-3.71,77.0,20161024 16:00,,,0.0,,,289.15,
18443538,76208001,49.51,1.72,104.0,20161104 21:12,,,0.2,,,280.05,
19050614,4126001,44.39,6.33,1197.0,20160613 12:30,,,0.0,,,293.05,
